CMDLINE python server.py
MEM 10.824219 1411467679.8022
MEM 10.824219 1411467679.9399
MEM 10.824219 1411467680.0606
MEM 10.824219 1411467680.1816
MEM 10.824219 1411467680.3024
MEM 10.824219 1411467680.4292
MEM 10.824219 1411467680.5503
MEM 10.824219 1411467680.6752
MEM 10.824219 1411467680.7968
MEM 10.824219 1411467680.9340
MEM 10.824219 1411467681.0504
MEM 10.824219 1411467681.1914
MEM 10.824219 1411467681.3065
MEM 10.824219 1411467681.4265
MEM 10.824219 1411467681.5483
MEM 10.824219 1411467681.6707
MEM 10.824219 1411467681.7813
MEM 10.824219 1411467681.8980
MEM 10.824219 1411467682.0202
MEM 10.824219 1411467682.1412
MEM 10.824219 1411467682.2628
MEM 10.824219 1411467682.3839
MEM 10.824219 1411467682.5116
MEM 10.824219 1411467682.6331
MEM 10.824219 1411467682.7539
MEM 10.824219 1411467682.9010
MEM 10.824219 1411467683.0216
MEM 10.824219 1411467683.1416
MEM 10.824219 1411467683.2631
MEM 10.824219 1411467683.3899
MEM 10.824219 1411467683.5157
MEM 10.824219 1411467683.6377
MEM 10.824219 1411467683.7452
MEM 10.824219 1411467683.8691
MEM 10.824219 1411467683.9816
MEM 10.824219 1411467684.1036
MEM 10.824219 1411467684.2265
MEM 10.824219 1411467684.3484
MEM 10.824219 1411467684.4701
MEM 10.824219 1411467684.5902
MEM 10.824219 1411467684.7132
MEM 10.824219 1411467684.8362
MEM 10.824219 1411467684.9537
MEM 10.824219 1411467685.0686
MEM 10.824219 1411467685.1886
MEM 10.824219 1411467685.3318
MEM 10.824219 1411467685.4653
MEM 10.824219 1411467685.5861
MEM 10.824219 1411467685.7079
MEM 10.824219 1411467685.8401
MEM 10.824219 1411467685.9619
MEM 10.824219 1411467686.0934
MEM 10.824219 1411467686.2172
MEM 10.824219 1411467686.3395
MEM 10.824219 1411467686.4624
MEM 10.824219 1411467686.5844
MEM 10.824219 1411467686.7164
MEM 10.824219 1411467686.8470
MEM 10.824219 1411467686.9705
MEM 10.824219 1411467687.0990
MEM 10.824219 1411467687.2288
MEM 10.824219 1411467687.3655
MEM 10.824219 1411467687.4953
MEM 10.824219 1411467687.6164
MEM 10.824219 1411467687.7397
MEM 10.824219 1411467687.8621
MEM 10.824219 1411467687.9887
MEM 10.824219 1411467688.1186
MEM 10.824219 1411467688.2446
MEM 10.824219 1411467688.3586
MEM 10.824219 1411467688.4732
MEM 10.824219 1411467688.5905
MEM 10.824219 1411467688.7045
MEM 10.824219 1411467688.8352
MEM 10.824219 1411467688.9647
MEM 10.824219 1411467689.0723
MEM 10.824219 1411467689.1899
MEM 10.824219 1411467689.3133
MEM 10.824219 1411467689.4386
MEM 10.824219 1411467689.5614
MEM 10.824219 1411467689.6810
MEM 10.824219 1411467689.8024
MEM 10.824219 1411467689.9221
MEM 10.824219 1411467690.0442
MEM 10.824219 1411467690.1649
MEM 10.824219 1411467690.2854
MEM 10.824219 1411467690.4068
MEM 10.824219 1411467690.5274
MEM 10.824219 1411467690.6501
MEM 10.824219 1411467690.7828
MEM 10.824219 1411467690.9053
MEM 10.824219 1411467691.0276
MEM 10.824219 1411467691.1507
MEM 10.824219 1411467691.2984
MEM 10.824219 1411467691.4196
MEM 10.824219 1411467691.5498
MEM 10.824219 1411467691.6789
MEM 10.824219 1411467691.7933
MEM 10.824219 1411467691.9139
MEM 10.824219 1411467692.0354
